airport,year,metric,on_time_pct,rank,source_label
ORD,2022,departure_otp,78.29,13,"Chicago, IL (ORD)"
ORD,2023,departure_otp,79.06,12,"Chicago, IL (ORD)"
ORD,2024,departure_otp,77.2,15,"Chicago, IL (ORD)"
BOS,2016,departure_otp_sample_january,84.42,,BTS PREZIP 2016-01 operated OTP proxy
BOS,2017,departure_otp_sample_january,82.47,,BTS PREZIP 2017-01 operated OTP proxy
BOS,2018,departure_otp_sample_january,76.11,,BTS PREZIP 2018-01 operated OTP proxy
BOS,2019,departure_otp_sample_january,77.39,,BTS PREZIP 2019-01 operated OTP proxy
BOS,2020,departure_otp_sample_january,88.42,,BTS PREZIP 2020-01 operated OTP proxy
BOS,2021,departure_otp_sample_january,91.78,,BTS PREZIP 2021-01 operated OTP proxy
BOS,2022,departure_otp_sample_january,80.58,,BTS PREZIP 2022-01 operated OTP proxy
BOS,2023,departure_otp_sample_january,78.97,,BTS PREZIP 2023-01 operated OTP proxy
BOS,2024,departure_otp_sample_january,77.24,,BTS PREZIP 2024-01 operated OTP proxy
DCA,2016,departure_otp_sample_january,84.82,,BTS PREZIP 2016-01 operated OTP proxy
DCA,2017,departure_otp_sample_january,83.7,,BTS PREZIP 2017-01 operated OTP proxy
DCA,2018,departure_otp_sample_january,80.06,,BTS PREZIP 2018-01 operated OTP proxy
DCA,2019,departure_otp_sample_january,81.38,,BTS PREZIP 2019-01 operated OTP proxy
DCA,2020,departure_otp_sample_january,86.48,,BTS PREZIP 2020-01 operated OTP proxy
DCA,2021,departure_otp_sample_january,93.34,,BTS PREZIP 2021-01 operated OTP proxy
DCA,2022,departure_otp_sample_january,78.34,,BTS PREZIP 2022-01 operated OTP proxy
DCA,2023,departure_otp_sample_january,84.34,,BTS PREZIP 2023-01 operated OTP proxy
DCA,2024,departure_otp_sample_january,77.5,,BTS PREZIP 2024-01 operated OTP proxy
DTW,2016,departure_otp_sample_january,83.39,,BTS PREZIP 2016-01 operated OTP proxy
DTW,2017,departure_otp_sample_january,80.57,,BTS PREZIP 2017-01 operated OTP proxy
DTW,2018,departure_otp_sample_january,80.29,,BTS PREZIP 2018-01 operated OTP proxy
DTW,2019,departure_otp_sample_january,81.22,,BTS PREZIP 2019-01 operated OTP proxy
DTW,2020,departure_otp_sample_january,88.33,,BTS PREZIP 2020-01 operated OTP proxy
DTW,2021,departure_otp_sample_january,92.31,,BTS PREZIP 2021-01 operated OTP proxy
DTW,2022,departure_otp_sample_january,79.61,,BTS PREZIP 2022-01 operated OTP proxy
DTW,2023,departure_otp_sample_january,80.04,,BTS PREZIP 2023-01 operated OTP proxy
DTW,2024,departure_otp_sample_january,74.01,,BTS PREZIP 2024-01 operated OTP proxy
JFK,2016,departure_otp_sample_january,78.38,,BTS PREZIP 2016-01 operated OTP proxy
JFK,2017,departure_otp_sample_january,78.82,,BTS PREZIP 2017-01 operated OTP proxy
JFK,2018,departure_otp_sample_january,77.81,,BTS PREZIP 2018-01 operated OTP proxy
JFK,2019,departure_otp_sample_january,80.96,,BTS PREZIP 2019-01 operated OTP proxy
JFK,2020,departure_otp_sample_january,88.02,,BTS PREZIP 2020-01 operated OTP proxy
JFK,2021,departure_otp_sample_january,90.02,,BTS PREZIP 2021-01 operated OTP proxy
JFK,2022,departure_otp_sample_january,75.31,,BTS PREZIP 2022-01 operated OTP proxy
JFK,2023,departure_otp_sample_january,75.56,,BTS PREZIP 2023-01 operated OTP proxy
JFK,2024,departure_otp_sample_january,78.63,,BTS PREZIP 2024-01 operated OTP proxy
ORD,2016,departure_otp_sample_january,76.6,,BTS PREZIP 2016-01 operated OTP proxy
ORD,2017,departure_otp_sample_january,77.28,,BTS PREZIP 2017-01 operated OTP proxy
ORD,2018,departure_otp_sample_january,77.89,,BTS PREZIP 2018-01 operated OTP proxy
ORD,2019,departure_otp_sample_january,71.8,,BTS PREZIP 2019-01 operated OTP proxy
ORD,2020,departure_otp_sample_january,83.48,,BTS PREZIP 2020-01 operated OTP proxy
ORD,2021,departure_otp_sample_january,88.78,,BTS PREZIP 2021-01 operated OTP proxy
ORD,2022,departure_otp_sample_january,77.73,,BTS PREZIP 2022-01 operated OTP proxy
ORD,2023,departure_otp_sample_january,77.85,,BTS PREZIP 2023-01 operated OTP proxy
ORD,2024,departure_otp_sample_january,71.4,,BTS PREZIP 2024-01 operated OTP proxy
PIT,2016,departure_otp_sample_january,89.75,,BTS PREZIP 2016-01 operated OTP proxy
PIT,2017,departure_otp_sample_january,86.29,,BTS PREZIP 2017-01 operated OTP proxy
PIT,2018,departure_otp_sample_january,84.2,,BTS PREZIP 2018-01 operated OTP proxy
PIT,2019,departure_otp_sample_january,84.22,,BTS PREZIP 2019-01 operated OTP proxy
PIT,2020,departure_otp_sample_january,90.31,,BTS PREZIP 2020-01 operated OTP proxy
PIT,2021,departure_otp_sample_january,94.03,,BTS PREZIP 2021-01 operated OTP proxy
PIT,2022,departure_otp_sample_january,84.25,,BTS PREZIP 2022-01 operated OTP proxy
PIT,2023,departure_otp_sample_january,86.5,,BTS PREZIP 2023-01 operated OTP proxy
PIT,2024,departure_otp_sample_january,84.44,,BTS PREZIP 2024-01 operated OTP proxy
